word,meaning,read,note,tags
Readoo,阅读哦哦？,,小说 App 名称,"小说,应用软件,品牌"
Hinovel,嗨小说,,小说 App 名称,"小说,应用软件,品牌"
iReader,掌阅？,,掌阅英文版,"小说,应用软件,品牌"
LikeRead,赞小说？,,小说 App 名称,"小说,应用软件,品牌"
NovelFull,新颖、完整的小说？,,小说 App 名称,"小说,应用软件,品牌"
Readict,,,阅读（阿斯图里亚斯语）,"小说,应用软件,品牌"
Wattpad,,,小说 App 名称,"小说,应用软件,品牌"
Chrome,,,Google 出品的浏览器，名字源自于「铬」元素,"应用软件,品牌"
Instagram,被 Facebook 收购的照片&视频社交 App,/ ˈɪnstəɡɹæm /,更正式的缩写是 IG 而非 Ins,"应用软件,品牌"
Safari,,,macOS 自带的浏览器，感觉和 IE 体验很相似,"应用软件,品牌"
YouTube,大陆人叫它油管,,全球最...的视频平台,"应用软件,品牌"
Dribbble,,,dribble 变形而来，dribble 原意是运球,"应用软件,品牌"
Numbers,,,macOS & iOS 自带的表格工具,"应用软件,品牌"
AdMob,谷歌广告移动端,,,"应用软件,品牌"
Facebook,大陆称脸书,,源于脸的交友社区,"应用软件,品牌"
Firebase,,,谷歌的某个服务,"应用软件,品牌"
PayPal,,,国际知名第三方支付,"应用软件,品牌"
Twitter,,,国际著名社交资讯,"应用软件,品牌"
